Date;Open*;High;Low;Close**;Volume;Market Cap
15/04/2015;0,65659;0,690585;0,651108;0,673307;21974;4724530
16/04/2015;0,673035;0,687646;0,652904;0,678599;42962;4853110
17/04/2015;0,678462;0,684367;0,631058;0,658304;27205;4903060
18/04/2015;0,658119;0,720373;0,654586;0,694249;39375;4765990
19/04/2015;0,69231;0,696105;0,662209;0,662209;15323;5023780
20/04/2015;0,662429;0,68435;0,649855;0,678942;28005;4816330
21/04/2015;0,68176;0,68176;0,583367;0,632725;101360;4968090
22/04/2015;0,631823;0,633604;0,575792;0,576331;29956;4614040
23/04/2015;0,57687;0,614022;0,556235;0,603233;45474;4221300
24/04/2015;0,596757;0,60509;0,56803;0,569937;18883;4375970
25/04/2015;0,572382;0,585438;0,514305;0,56474;77248;4205970
26/04/2015;0,563681;0,567488;0,531613;0,556385;19954;4150550
27/04/2015;0,556476;0,573146;0,529841;0,566088;26268;4105850
28/04/2015;0,566098;0,572987;0,445988;0,47931;97890;4185340
29/04/2015;0,484513;0,502058;0,447521;0,491526;29029;3589430
30/04/2015;0,49244;0,52662;0,462531;0,501179;29589;3655310
01/05/2015;0,502925;0,52752;0,492795;0,499998;13570;3734140
02/05/2015;0,500167;0,509485;0,484577;0,497577;12363;3713670
03/05/2015;0,495055;0,513322;0,491903;0,499079;13646;3675710
04/05/2015;0,498803;0,503922;0,467321;0,467889;19414;3703540
05/05/2015;0,468268;0,482659;0,447593;0,471166;22379;3476820
06/05/2015;0,471263;0,480915;0,445022;0,458257;29928;3499060
07/05/2015;0,458921;0,486493;0,455222;0,473934;29403;3407420
08/05/2015;0,474257;0,499916;0,471741;0,490568;13967;3521290
09/05/2015;0,4911;0,537699;0,479652;0,513693;33579;3711700
10/05/2015;0,51507;0,574016;0,498172;0,565103;25842;3900430
11/05/2015;0,561128;0,56721;0,495461;0,511342;40270;4257390
12/05/2015;0,513022;0,515426;0,477435;0,477612;27612;3900190
13/05/2015;0,476743;0,523206;0,475371;0,483207;22340;3631200
14/05/2015;0,4829;0,511704;0,475443;0,495548;24386;3685290
15/05/2015;0,495878;0,569368;0,495756;0,544965;36937;3791680
16/05/2015;0,546561;0,623946;0,534678;0,595673;48492;4187560
17/05/2015;0,597889;0,624824;0,546362;0,557216;38552;4589620
18/05/2015;0,558933;0,597701;0,517159;0,535773;66440;4298940
19/05/2015;0,534982;0,550374;0,495834;0,51466;64157;4122390
20/05/2015;0,51494;0,552889;0,492917;0,492917;62290;3975640
21/05/2015;0,512711;0,535783;0,440916;0,462956;110387;3965800
22/05/2015;0,467157;0,477355;0,421431;0,460764;52852;3620250
23/05/2015;0,45893;0,491955;0,458416;0,470987;28017;3563310
24/05/2015;0,470752;0,483848;0,467902;0,479603;12799;3661790
25/05/2015;0,479449;0,483379;0,46172;0,463606;28042;3736440
26/05/2015;0,46367;0,47053;0,434143;0,446883;32411;3619900
27/05/2015;0,448145;0,448145;0,415162;0,421971;44220;3505500
28/05/2015;0,425935;0,453363;0,421284;0,443637;29630;3337830
29/05/2015;0,444393;0,460195;0,439708;0,439872;29580;3488920
30/05/2015;0,441193;0,447659;0,429383;0,445107;16705;3469710
31/05/2015;0,446073;0,482621;0,442069;0,450889;44096;3514770
01/06/2015;0,451224;0,467436;0,44699;0,451619;21924;3561950
02/06/2015;0,454769;0,465194;0,443201;0,455539;42022;3596230
03/06/2015;0,454506;0,468198;0,452353;0,453476;20468;3600960
04/06/2015;0,453636;0,484314;0,451858;0,476494;27086;3600680
